"region","total_orders","total_revenue"
"SP","41745","5998226.96"
"RJ","12852","2144379.69"
"MG","11635","1872257.26"
"RS","5466","890898.54"
"PR","5045","811156.38"
"SC","3637","623086.43"
"BA","3380","616645.82"
"DF","2140","355141.08"
"GO","2020","350092.31"
"ES","2033","325967.55"
